iter	Passed	Remaining
0	2	2294
1	4	2140
2	6	2081
3	8	2033
4	10	2045
5	12	2042
6	14	2028
7	16	2017
8	18	2026
9	20	2021
10	22	2016
11	24	2015
12	26	2026
13	28	2014
14	30	2005
15	32	1998
16	34	1993
17	36	1986
18	38	1976
19	40	1970
20	42	1965
21	44	1958
22	45	1950
23	47	1942
24	49	1937
25	51	1932
26	53	1930
27	55	1925
28	57	1921
29	59	1918
30	61	1912
31	63	1908
32	65	1906
33	67	1905
34	69	1904
35	71	1902
36	73	1900
37	74	1897
38	76	1894
39	78	1890
40	80	1887
41	82	1886
42	84	1885
43	86	1881
44	88	1878
45	90	1877
46	92	1877
47	94	1873
48	96	1872
49	98	1871
50	100	1875
51	103	1878
52	105	1877
53	107	1875
54	109	1878
55	111	1881
56	113	1883
57	115	1882
58	117	1880
59	119	1878
60	121	1875
61	123	1873
62	125	1871
63	127	1869
64	129	1867
65	131	1865
66	133	1863
67	135	1861
68	137	1858
69	139	1856
70	141	1854
71	143	1852
72	145	1851
73	147	1850
74	149	1846
75	151	1845
76	153	1843
77	155	1841
78	157	1838
79	159	1836
80	161	1835
81	163	1833
82	165	1830
83	167	1828
84	169	1826
85	171	1825
86	173	1822
87	175	1820
88	177	1816
89	179	1815
90	181	1813
91	183	1811
92	185	1808
93	187	1807
94	189	1808
95	192	1810
96	194	1808
97	196	1806
98	198	1807
99	200	1807
100	203	1807
101	204	1803
102	207	1803
103	209	1803
104	211	1804
105	213	1802
106	215	1800
107	217	1798
108	219	1796
109	221	1793
110	223	1791
111	225	1788
112	227	1786
113	229	1783
114	231	1781
115	233	1779
116	235	1776
117	237	1774
118	239	1773
119	241	1772
120	243	1770
121	245	1770
122	248	1768
123	250	1768
124	252	1767
125	254	1766
126	256	1766
127	259	1766
128	261	1765
129	263	1762
130	265	1760
131	267	1759
132	269	1756
133	271	1754
134	273	1752
135	275	1749
136	277	1747
137	279	1745
138	281	1742
139	283	1740
140	285	1738
141	287	1737
142	289	1736
143	291	1735
144	293	1733
145	296	1732
146	298	1732
147	300	1730
148	302	1729
149	304	1726
150	306	1724
151	308	1723
152	311	1722
153	313	1721
154	315	1718
155	317	1716
156	319	1714
157	321	1712
158	323	1710
159	325	1708
160	327	1705
161	329	1703
162	331	1701
163	333	1698
164	335	1695
165	337	1693
166	338	1690
167	340	1688
168	342	1686
169	344	1683
170	346	1681
171	348	1678
172	350	1676
173	352	1674
174	354	1671
175	356	1669
176	358	1667
177	360	1665
178	362	1662
179	364	1660
180	366	1657
181	368	1655
182	370	1653
183	372	1651
184	374	1649
185	376	1646
186	378	1644
187	380	1642
188	382	1639
189	384	1637
190	386	1636
191	388	1635
192	390	1634
193	392	1632
194	394	1630
195	397	1628
196	399	1627
197	401	1626
198	403	1623
199	405	1620
200	407	1619
201	409	1618
202	411	1617
203	413	1614
204	415	1612
205	417	1610
206	419	1607
207	421	1606
208	423	1603
209	425	1601
210	427	1598
211	429	1596
212	431	1593
213	433	1591
214	435	1589
215	437	1587
216	439	1585
217	441	1582
218	443	1580
219	444	1577
220	446	1575
221	448	1572
222	450	1570
223	452	1568
224	454	1565
225	456	1563
226	458	1560
227	460	1558
228	462	1556
229	464	1553
230	465	1550
231	467	1548
232	469	1546
233	471	1544
234	473	1541
235	475	1539
236	477	1536
237	479	1535
238	481	1533
239	483	1532
240	485	1529
241	487	1527
242	490	1526
243	492	1525
244	494	1523
245	496	1521
246	498	1519
247	500	1517
248	502	1515
249	504	1514
250	506	1511
251	508	1509
252	510	1507
253	512	1505
254	514	1503
255	516	1500
256	518	1498
257	520	1496
258	522	1493
259	524	1491
260	526	1489
261	528	1487
262	530	1485
263	531	1483
264	533	1480
265	535	1478
266	537	1476
267	539	1474
268	541	1472
269	543	1469
270	545	1467
271	547	1465
272	549	1463
273	551	1460
274	553	1458
275	555	1456
276	556	1453
277	558	1451
278	560	1449
279	562	1447
280	564	1444
281	566	1442
282	568	1440
283	570	1438
284	572	1435
285	574	1433
286	576	1432
287	578	1430
288	580	1428
289	582	1426
290	584	1424
291	586	1422
292	588	1421
293	591	1419
294	593	1418
295	595	1415
296	597	1413
297	599	1412
298	601	1410
299	603	1408
300	605	1406
301	607	1404
302	609	1402
303	611	1399
304	613	1397
305	615	1395
306	617	1393
307	619	1391
308	621	1389
309	623	1386
310	625	1384
311	626	1382
312	628	1380
313	630	1378
314	632	1375
315	634	1373
316	636	1371
317	638	1369
318	640	1366
319	642	1364
320	644	1362
321	646	1360
322	648	1358
323	650	1356
324	652	1354
325	654	1352
326	656	1350
327	658	1348
328	659	1345
329	662	1344
330	664	1342
331	666	1340
332	668	1338
333	670	1336
334	672	1334
335	674	1332
336	676	1330
337	678	1329
338	680	1327
339	682	1325
340	684	1323
341	686	1321
342	689	1319
343	691	1318
344	693	1316
345	695	1314
